code,name,year,industry
300235,方直科技,2024,S71
300236,上海新阳,2022,S27
300236,上海新阳,2023,S27
300236,上海新阳,2024,S27
300237,ST美晨,2022,S28
300237,ST美晨,2023,S28
300237,ST美晨,2024,S28
300238,冠昊生物,2022,S37
300238,冠昊生物,2023,S37
300238,冠昊生物,2024,S37
300239,东宝生物,2022,S37
300239,东宝生物,2023,S37
300239,东宝生物,2024,S37
300240,飞力达,2022,S42
300240,飞力达,2023,S42
300240,飞力达,2024,S42
300241,瑞丰光电,2022,S27
300241,瑞丰光电,2023,S27
300241,瑞丰光电,2024,S27
300242,佳云科技,2022,S72
300242,佳云科技,2023,S72
300242,佳云科技,2024,S72
300243,瑞丰高材,2022,S22
300243,瑞丰高材,2023,S22
300243,瑞丰高材,2024,S22
300244,迪安诊断,2022,S37
300244,迪安诊断,2023,S37
300244,迪安诊断,2024,S37
300245,天玑科技,2022,S71
300245,天玑科技,2023,S71
300245,天玑科技,2024,S71
300246,宝莱特,2022,S37
300246,宝莱特,2023,S37
300246,宝莱特,2024,S37
300247,融捷健康,2022,S33
300247,融捷健康,2023,S33
300247,融捷健康,2024,S33
300248,新开普,2022,S71
300248,新开普,2023,S71
300248,新开普,2024,S71
300249,依米康,2022,S71
300249,依米康,2023,S71
300249,依米康,2024,S71
300250,初灵信息,2022,S71
300250,初灵信息,2023,S71
300250,初灵信息,2024,S71
300251,光线传媒,2022,S72
300251,光线传媒,2023,S72
300251,光线传媒,2024,S72
300252,金信诺,2022,S65
300252,金信诺,2023,S65
300252,金信诺,2024,S65
300253,卫宁健康,2022,S71
300253,卫宁健康,2023,S71
300253,卫宁健康,2024,S71
300254,仟源医药,2022,S37
300254,仟源医药,2023,S37
300254,仟源医药,2024,S37
300255,常山药业,2022,S37
300255,常山药业,2023,S37
300255,常山药业,2024,S37
300256,星星科技,2022,S27
300256,星星科技,2023,S27
300256,星星科技,2024,S27
300257,开山股份,2022,S64
300257,开山股份,2023,S64
300257,开山股份,2024,S64
300258,精锻科技,2022,S28
300258,精锻科技,2023,S28
300258,精锻科技,2024,S28
300259,新天科技,2022,S64
300259,新天科技,2023,S64
300259,新天科技,2024,S64
300260,新莱应材,2022,S64
300260,新莱应材,2023,S64
300260,新莱应材,2024,S64
300261,雅本化学,2022,S22
300261,雅本化学,2023,S22
300261,雅本化学,2024,S22
300263,隆华科技,2022,S64
300263,隆华科技,2023,S64
300263,隆华科技,2024,S64
300264,佳创视讯,2022,S71
300264,佳创视讯,2023,S71
300264,佳创视讯,2024,S71
300265,通光线缆,2022,S63
300265,通光线缆,2023,S63
300265,通光线缆,2024,S63
300266,兴源环境,2022,S76
300266,兴源环境,2023,S76
300266,兴源环境,2024,S76
300267,尔康制药,2022,S37
300267,尔康制药,2023,S37
300267,尔康制药,2024,S37
300268,*ST佳沃,2022,S11
300268,*ST佳沃,2023,S11
300268,*ST佳沃,2024,S11
300269,联建光电,2022,S27
300269,联建光电,2023,S27
300269,联建光电,2024,S27
300270,中威电子,2022,S71
300270,中威电子,2023,S71
300270,中威电子,2024,S71
300271,华宇软件,2022,S71
300271,华宇软件,2023,S71
300271,华宇软件,2024,S71
300272,开能健康,2022,S33
300272,开能健康,2023,S33
300272,开能健康,2024,S33
300274,阳光电源,2022,S63
300274,阳光电源,2023,S63
300274,阳光电源,2024,S63
300275,梅安森,2022,S71
300275,梅安森,2023,S71
300275,梅安森,2024,S71
300276,三丰智能,2022,S64
300276,三丰智能,2023,S64
300276,三丰智能,2024,S64
300277,海联讯,2022,S71
300277,海联讯,2023,S71
300277,海联讯,2024,S71
300278,华昌达,2022,S64
300278,华昌达,2023,S64
300278,华昌达,2024,S64
300279,和晶科技,2022,S27
300279,和晶科技,2023,S27
300279,和晶科技,2024,S33
300281,金明精机,2022,S64
300281,金明精机,2023,S64
300281,金明精机,2024,S64
300283,温州宏丰,2022,S63
300283,温州宏丰,2023,S63
300283,温州宏丰,2024,S63
300284,苏交科,2022,S62
300284,苏交科,2023,S62
300284,苏交科,2024,S62
300285,国瓷材料,2022,S27
300285,国瓷材料,2023,S27
300285,国瓷材料,2024,S27
300286,安科瑞,2022,S63
300286,安科瑞,2023,S63
300286,安科瑞,2024,S63
300287,飞利信,2022,S71
300287,飞利信,2023,S71
300287,飞利信,2024,S71
300288,朗玛信息,2022,S71
300288,朗玛信息,2023,S71
300288,朗玛信息,2024,S71
300289,利德曼,2022,S37
300289,利德曼,2023,S37
300289,利德曼,2024,S37
300290,荣科科技,2022,S71
300290,荣科科技,2023,S71
300290,荣科科技,2024,S71
300291,百纳千成,2022,S72
300291,百纳千成,2023,S72
300291,百纳千成,2024,S72
300292,吴通控股,2022,S73
300292,吴通控股,2023,S73
300292,吴通控股,2024,S73
300293,蓝英装备,2022,S64
300293,蓝英装备,2023,S64
300293,蓝英装备,2024,S64
300294,博雅生物,2022,S37
300294,博雅生物,2023,S37
300294,博雅生物,2024,S37
300295,三六五网,2022,S72
300295,三六五网,2023,S72
300295,三六五网,2024,S72
300296,利亚德,2022,S27
300296,利亚德,2023,S27
300296,利亚德,2024,S27
300298,三诺生物,2022,S37
300298,三诺生物,2023,S37
300298,三诺生物,2024,S37
300299,富春股份,2022,S72
300299,富春股份,2023,S72
300299,富春股份,2024,S72
300300,海峡创新,2022,S71
300300,海峡创新,2023,S71
300300,海峡创新,2024,S71
300301,ST长方,2022,S27
300301,ST长方,2023,S27
300301,ST长方,2024,S27
300302,同有科技,2022,S71
300302,同有科技,2023,S71
300302,同有科技,2024,S71
300303,聚飞光电,2022,S27
300303,聚飞光电,2023,S27
300303,聚飞光电,2024,S27
300304,云意电气,2022,S28
300304,云意电气,2023,S28
300304,云意电气,2024,S28
300305,裕兴股份,2022,S22
300305,裕兴股份,2023,S22
300305,裕兴股份,2024,S22
300306,远方信息,2022,S64
300306,远方信息,2023,S64
300306,远方信息,2024,S64
300307,慈星股份,2022,S64
300307,慈星股份,2023,S64
300307,慈星股份,2024,S64
300308,中际旭创,2022,S73
300308,中际旭创,2023,S73
300308,中际旭创,2024,S73
300310,宜通世纪,2022,S73
300310,宜通世纪,2023,S73
300310,宜通世纪,2024,S73
300311,ST任子行,2022,S71
300311,ST任子行,2023,S71
300311,ST任子行,2024,S71
300313,*ST天山,2022,S11
300313,*ST天山,2023,S11
300313,*ST天山,2024,S11
300314,戴维医疗,2022,S37
300314,戴维医疗,2023,S37
300314,戴维医疗,2024,S37
300315,掌趣科技,2022,S72
300315,掌趣科技,2023,S72
300315,掌趣科技,2024,S72
300316,晶盛机电,2022,S63
300316,晶盛机电,2023,S63
300316,晶盛机电,2024,S63
300317,珈伟新能,2022,S41
300317,珈伟新能,2023,S41
300317,珈伟新能,2024,S41
300318,博晖创新,2022,S37
300318,博晖创新,2023,S37
300318,博晖创新,2024,S37
300319,麦捷科技,2022,S27
300319,麦捷科技,2023,S27
300319,麦捷科技,2024,S27
300320,海达股份,2022,S22
300320,海达股份,2023,S22
300320,海达股份,2024,S22
300321,同大股份,2022,S22
300321,同大股份,2023,S22
300321,同大股份,2024,S22
300322,硕贝德,2022,S27
300322,硕贝德,2023,S27
300322,硕贝德,2024,S27
300323,华灿光电,2022,S27
300323,华灿光电,2023,S27
300323,华灿光电,2024,S27
300324,旋极信息,2022,S71
300324,旋极信息,2023,S71
300324,旋极信息,2024,S71
300326,ST凯利,2022,S37
300326,ST凯利,2023,S37
300326,ST凯利,2024,S37
300327,中颖电子,2022,S27
300327,中颖电子,2023,S27
300327,中颖电子,2024,S27
300328,宜安科技,2022,S24
300328,宜安科技,2023,S24
300328,宜安科技,2024,S24
300329,海伦钢琴,2022,S36
300329,海伦钢琴,2023,S36
300329,海伦钢琴,2024,S36
300331,苏大维格,2022,S27
300331,苏大维格,2023,S27
300331,苏大维格,2024,S27
300332,天壕能源,2022,S41
300332,天壕能源,2023,S41
300332,天壕能源,2024,S41
300333,兆日科技,2022,S71
300333,兆日科技,2023,S71
300333,兆日科技,2024,S71
300334,津膜科技,2022,S76
300334,津膜科技,2023,S76
300334,津膜科技,2024,S76
300335,迪森股份,2022,S41
300335,迪森股份,2023,S41
300335,迪森股份,2024,S41
300337,银邦股份,2022,S24
300337,银邦股份,2023,S24
300337,银邦股份,2024,S24
300338,ST开元,2022,S46
300338,ST开元,2023,S46
300338,ST开元,2024,S46
300339,润和软件,2022,S71
300339,润和软件,2023,S71
300339,润和软件,2024,S71
300340,科恒股份,2022,S63
300340,科恒股份,2023,S63
300340,科恒股份,2024,S63
300341,麦克奥迪,2022,S64
300341,麦克奥迪,2023,S37
300341,麦克奥迪,2024,S37
300342,天银机电,2022,S33
300342,天银机电,2023,S33
300342,天银机电,2024,S33
300343,ST联创,2022,S72
300343,ST联创,2023,S22
300343,ST联创,2024,S22
300344,*ST立方,2022,S71
300344,*ST立方,2023,S71
300344,*ST立方,2024,S71
300345,华民股份,2022,S64
300345,华民股份,2023,S64
300345,华民股份,2024,S63
300346,南大光电,2022,S27
300346,南大光电,2023,S27
300346,南大光电,2024,S27
300347,泰格医药,2022,S37
300347,泰格医药,2023,S37
300347,泰格医药,2024,S37
300348,长亮科技,2022,S71
300348,长亮科技,2023,S71
300348,长亮科技,2024,S71
300349,金卡智能,2022,S64
300349,金卡智能,2023,S64
300349,金卡智能,2024,S64
300350,华鹏飞,2022,S42
300350,华鹏飞,2023,S42
300350,华鹏飞,2024,S42
300351,永贵电器,2022,S64
300351,永贵电器,2023,S64
300351,永贵电器,2024,S64
300352,北信源,2022,S71
300352,北信源,2023,S71
300352,北信源,2024,S71
300353,东土科技,2022,S73
300353,东土科技,2023,S73
300353,东土科技,2024,S73
300354,东华测试,2022,S64
300354,东华测试,2023,S64
300354,东华测试,2024,S64
300355,蒙草生态,2022,S62
300355,蒙草生态,2023,S62
300355,蒙草生态,2024,S62
300357,我武生物,2022,S37
300357,我武生物,2023,S37
300357,我武生物,2024,S37
300358,楚天科技,2022,S37
300358,楚天科技,2023,S37
300358,楚天科技,2024,S37
300359,全通教育,2022,S46
300359,全通教育,2023,S46
300359,全通教育,2024,S46
300360,炬华科技,2022,S63
300360,炬华科技,2023,S63
300360,炬华科技,2024,S63
300363,博腾股份,2022,S37
300363,博腾股份,2023,S37
300363,博腾股份,2024,S37
300364,中文在线,2022,S72
300364,中文在线,2023,S72
300364,中文在线,2024,S72
300365,恒华科技,2022,S71
300365,恒华科技,2023,S71
300365,恒华科技,2024,S71
300366,ST创意,2022,S71
300366,ST创意,2023,S71
300366,ST创意,2024,S71
300368,汇金股份,2022,S71
300368,汇金股份,2023,S71
300368,汇金股份,2024,S71
300369,绿盟科技,2022,S71
300369,绿盟科技,2023,S71
300369,绿盟科技,2024,S71
300370,安控科技,2022,S64
300370,安控科技,2023,S64
300370,安控科技,2024,S64
300371,汇中股份,2022,S64
300371,汇中股份,2023,S64
300371,汇中股份,2024,S64
300373,扬杰科技,2022,S27
300373,扬杰科技,2023,S27
300373,扬杰科技,2024,S27
300374,中铁装配,2022,S61
300374,中铁装配,2023,S61
300374,中铁装配,2024,S61
300375,鹏翎股份,2022,S28
300375,鹏翎股份,2023,S28
300375,鹏翎股份,2024,S28
300376,易事特,2022,S63
300376,易事特,2023,S63
300376,易事特,2024,S63
300377,赢时胜,2022,S71
300377,赢时胜,2023,S71
300377,赢时胜,2024,S71
300378,鼎捷数智,2022,S71
300378,鼎捷数智,2023,S71
300378,鼎捷数智,2024,S71
300380,安硕信息,2022,S71
300380,安硕信息,2023,S71
300380,安硕信息,2024,S71
300381,溢多利,2022,S37
300381,溢多利,2023,S37
300381,溢多利,2024,S37
300382,斯莱克,2022,S64
300382,斯莱克,2023,S64
300382,斯莱克,2024,S64
300383,光环新网,2022,S71
300383,光环新网,2023,S73
300383,光环新网,2024,S73
300384,三联虹普,2022,S62
300384,三联虹普,2023,S62
300384,三联虹普,2024,S62
300385,雪浪环境,2022,S76
300385,雪浪环境,2023,S76
300385,雪浪环境,2024,S76
300386,飞天诚信,2022,S71
300386,飞天诚信,2023,S71
300386,飞天诚信,2024,S71
300387,富邦科技,2022,S22
300387,富邦科技,2023,S22
300387,富邦科技,2024,S22
300388,节能国祯,2022,S76
300388,节能国祯,2023,S76
300388,节能国祯,2024,S76
300389,艾比森,2022,S27
300389,艾比森,2023,S27
300389,艾比森,2024,S27
300390,天华新能,2022,S24
300390,天华新能,2023,S63
300390,天华新能,2024,S63
300391,长药退,2022,S37
300391,长药退,2023,S37
300391,长药退,2024,S37
300393,中来股份,2022,S63
300393,中来股份,2023,S63
300393,中来股份,2024,S63
300394,天孚通信,2022,S73
300394,天孚通信,2023,S73
300394,天孚通信,2024,S73
300395,菲利华,2022,S65
300395,菲利华,2023,S65
300395,菲利华,2024,S65
300396,迪瑞医疗,2022,S37
300396,迪瑞医疗,2023,S37
300396,迪瑞医疗,2024,S37
300397,天和防务,2022,S65
300397,天和防务,2023,S65
300397,天和防务,2024,S65
300398,飞凯材料,2022,S27
300398,飞凯材料,2023,S27
300398,飞凯材料,2024,S27
300399,天利科技,2022,S71
300399,天利科技,2023,S71
300399,天利科技,2024,S71
300400,劲拓股份,2022,S64
300400,劲拓股份,2023,S64
300400,劲拓股份,2024,S64
300401,花园生物,2022,S37
300401,花园生物,2023,S37
300401,花园生物,2024,S37
300402,宝色股份,2022,S64
300402,宝色股份,2023,S64
300402,宝色股份,2024,S64
300403,汉宇集团,2022,S33
300403,汉宇集团,2023,S33
300403,汉宇集团,2024,S33
300404,博济医药,2022,S37
300404,博济医药,2023,S37
300404,博济医药,2024,S37
300405,科隆股份,2022,S22
300405,科隆股份,2023,S22
300405,科隆股份,2024,S22
300406,九强生物,2022,S37
300406,九强生物,2023,S37
300406,九强生物,2024,S37
300407,凯发电气,2022,S63
300407,凯发电气,2023,S63
300407,凯发电气,2024,S63
300408,三环集团,2022,S27
300408,三环集团,2023,S27
300408,三环集团,2024,S27
300409,道氏技术,2022,S63
300409,道氏技术,2023,S63
300409,道氏技术,2024,S63
300410,正业科技,2022,S63
300410,正业科技,2023,S63
300410,正业科技,2024,S63
300411,金盾股份,2022,S64
300411,金盾股份,2023,S64
300411,金盾股份,2024,S64
300412,迦南科技,2022,S64
300412,迦南科技,2023,S64
300412,迦南科技,2024,S64
300413,芒果超媒,2022,S72
300413,芒果超媒,2023,S72
300413,芒果超媒,2024,S72
300414,中光防雷,2022,S73
300414,中光防雷,2023,S73
300414,中光防雷,2024,S73
300415,伊之密,2022,S64
300415,伊之密,2023,S64
300415,伊之密,2024,S64
300416,苏试试验,2022,S46
300416,苏试试验,2023,S46
300416,苏试试验,2024,S46
300417,南华仪器,2022,S64
300417,南华仪器,2023,S64
300417,南华仪器,2024,S64
300418,昆仑万维,2022,S72
300418,昆仑万维,2023,S72
300418,昆仑万维,2024,S72
300419,ST浩丰,2022,S71
300419,ST浩丰,2023,S71
